Repository,Owner,Stars,Forks,Size (KB),Files Found,Nodes Extracted,Valid Nodes,Extraction Success,Extraction Failed,Success Rate (%),Validity Rate (%),Quality Score
daily_free_vpn,cbusifabcap,12,2,3933,1,0,0,0,0,0,0,4.4
Testfree,lerjtl,12,1,595,0,0,0,0,0,0,0,4.0
V2RayN-NodeShare,DaBao-Lee,9,1,501,0,0,0,0,0,0,0,3.1
abc-configs-free-vpn-proxy-list,FreeFolksOn,9,0,642,0,0,0,0,0,0,0,2.7
clash-rule-china,akiirui,2,0,37815,3,0,0,0,0,0,0,0.6
Free-VPN-Servers,general-vpn,2,0,1,0,0,0,0,0,0,0,0.6
boba_blitz,yourfavoriteneighborhoodpochacco,1,0,2,0,0,0,0,0,0,0,0.3
ss-manager,JoshuaCylinder,1,0,126,0,0,0,0,0,0,0,0.3
SubscribeManagement,kirov-opensource,1,0,48,4,0,0,0,0,0,0,0.3
sing-box,Cat-Ling,1,0,3371,1,0,0,0,0,0,0,0.3
freedom-tools-review,MHShokuhi,1,0,9,0,0,0,0,0,0,0,0.3
RefurbRadar-backend,klausss30,1,0,26,3,0,0,0,0,0,0,0.3
ComfyUI-Batch-Labeling-CN,Kiwi-shijie,1,0,7,1,0,0,0,0,0,0,0.3
jichangtuijian,jichangtuijian-1024,1,0,24,0,0,0,0,0,0,0,0.3
ssr-jichang,ara84-eng,0,0,5,0,0,0,0,0,0,0,0.0
vpn-jic,male-sys,0,0,3,0,0,0,0,0,0,0,0.0
Trojan-,fbdbdnxg-collab,0,0,3,0,0,0,0,0,0,0,0.0
feishu-paperclip-bridge,yuanfengxixi,0,0,19,3,0,0,0,0,0,0,0.0
cn-apps-direct-domains,Clash-FX,0,0,13,0,0,0,0,0,0,0,0.0
surge-clash-rules-mirror,bleeeet,0,0,466,8,0,0,0,0,0,0,0.0
shareNode,ssxsssxs,0,0,1,0,0,0,0,0,0,0,0.0
bash-warp-generator,RoxxuDoni,0,0,4,0,0,0,0,0,0,0,0.0
warp-claude-workflow,thomast8,0,0,14,1,0,0,0,0,0,0,0.0
nginx-ssl-auto,scsmods-js,0,0,1945,1,0,0,0,0,0,0,0.0
antigravity-proxy-mac,bainian100,0,0,85,2,0,0,0,0,0,0,0.0
ai-bridge-php,gentpan,0,0,11,0,0,0,0,0,0,0,0.0
GmSSL-Nodejs,GmSSL,0,0,75,3,0,0,0,0,0,0,0.0
SSR-V2Ray-Share,len705,0,0,23,0,0,0,0,0,0,0,0.0
Newsletter-Bot,M-VISHAL-KAMATH26,0,0,16,3,0,0,0,0,0,0,0.0
url,yxx0234,0,0,67,2,0,0,0,0,0,0,0.0
